課文/單字	族語	中文	音檔路徑
課文	na tarivaksun, sinsi?	老師，您好嗎？	https://web.klokah.tw/ninew/sound/11/01/01-B-1.mp3
單字	na	[虛]	https://web.klokah.tw/ninew/sound/11/01/01-C-1-1.mp3
單字	tarivaksun	您好	https://web.klokah.tw/ninew/sound/11/01/01-C-1-2.mp3
單字	sinsi	老師	https://web.klokah.tw/ninew/sound/11/01/01-C-1-3.mp3
課文	ui, na tarivakaken.	是的，我很好。	https://web.klokah.tw/ninew/sound/11/01/01-B-2.mp3
單字	ui	是的	https://web.klokah.tw/ninew/sound/11/01/01-C-2-1.mp3
單字	na	[虛]	https://web.klokah.tw/ninew/sound/11/01/01-C-2-2.mp3
單字	tarivakaken	我很好	https://web.klokah.tw/ninew/sound/11/01/01-C-2-3.mp3
課文	saka na tarivaksun uta?	那麼你也好嗎？	https://web.klokah.tw/ninew/sound/11/01/01-B-3.mp3
單字	saka	那麼	https://web.klokah.tw/ninew/sound/11/01/01-C-3-1.mp3
單字	na	[虛]	https://web.klokah.tw/ninew/sound/11/01/01-C-3-2.mp3
單字	tarivaksun	您好	https://web.klokah.tw/ninew/sound/11/01/01-C-3-3.mp3
單字	uta	也是	https://web.klokah.tw/ninew/sound/11/01/01-C-3-4.mp3
課文	ui, na tarivakaken, uta.	是的，我也很好。	https://web.klokah.tw/ninew/sound/11/01/01-B-4.mp3
單字	ui	是的	https://web.klokah.tw/ninew/sound/11/01/01-C-4-1.mp3
單字	na	[虛]	https://web.klokah.tw/ninew/sound/11/01/01-C-4-2.mp3
單字	tarivakaken	我很好	https://web.klokah.tw/ninew/sound/11/01/01-C-4-3.mp3
單字	uta	也是	https://web.klokah.tw/ninew/sound/11/01/01-C-4-4.mp3
課文	masalu!	謝謝！	https://web.klokah.tw/ninew/sound/11/01/01-B-5.mp3
單字	masalu	謝謝	https://web.klokah.tw/ninew/sound/11/01/01-C-5-1.mp3
課文	situsun?	你是學生嗎？	https://web.klokah.tw/ninew/sound/11/01/02-B-1.mp3
單字	situsun	你是學生	https://web.klokah.tw/ninew/sound/11/01/02-C-1-1.mp3
課文	ui, situaken.	是的，我是學生。	https://web.klokah.tw/ninew/sound/11/01/02-B-2.mp3
單字	ui	是的	https://web.klokah.tw/ninew/sound/11/01/02-C-2-1.mp3
單字	situaken	我是學生	https://web.klokah.tw/ninew/sound/11/01/02-C-2-2.mp3
課文	situ timadju uta?	他也是學生嗎？	https://web.klokah.tw/ninew/sound/11/01/02-B-3.mp3
單字	situ	學生	https://web.klokah.tw/ninew/sound/11/01/02-C-3-1.mp3
單字	timadju	他	https://web.klokah.tw/ninew/sound/11/01/02-C-3-2.mp3
單字	uta	也	https://web.klokah.tw/ninew/sound/11/01/02-C-3-3.mp3
